,date,CELG_adjusted_close,CELG_cumulative_return,CELG_value,FB_adjusted_close,FB_cumulative_return,FB_value,GOOG_adjusted_close,GOOG_cumulative_return,GOOG_value,NVDA_adjusted_close,NVDA_cumulative_return,NVDA_value,SPY_adjusted_close,SPY_cumulative_return,SPY_value,portfolio_cumulative_return,portfolio_value
89,2017-02-14,117.02,1.12487,0.899896,133.85,1.03969,0.0,820.45,1.05611,0.0,108.78,1.61538,0.32307600000000003,233.7,1.08305,1.08305,1.222972,1.222972
90,2017-02-15,120.47,1.15803,0.9264239999999999,133.44,1.03651,0.0,818.98,1.05422,0.0,109.0,1.61865,0.32373,234.92,1.0887,1.0887,1.250154,1.250154
91,2017-02-16,118.66,1.14063,0.9125040000000001,133.84,1.03961,0.0,824.16,1.06089,0.0,107.25,1.59266,0.31853200000000004,234.72,1.08777,1.08777,1.231036,1.231036
92,2017-02-17,121.16,1.16466,0.9317280000000001,133.53,1.03721,0.0,828.07,1.06592,0.0,107.23,1.59237,0.31847400000000003,235.09,1.08949,1.08949,1.2502020000000003,1.2502020000000003
93,2017-02-21,119.44,1.14813,0.9185040000000001,133.72,1.03868,0.0,831.66,1.07054,0.0,111.07,1.64939,0.329878,236.49,1.09598,1.09598,1.248382,1.248382
94,2017-02-22,119.27,1.1465,0.9172000000000001,136.12,1.05732,0.0,830.76,1.06938,0.0,110.76,1.64479,0.32895800000000003,236.28,1.095,1.095,1.246158,1.246158
95,2017-02-23,119.46,1.14832,0.918656,135.36,1.05142,0.0,831.33,1.07012,0.0,100.49,1.49228,0.298456,236.44,1.09575,1.09575,1.217112,1.217112
96,2017-02-24,118.23,1.1365,0.9092000000000001,135.44,1.05204,0.0,828.64,1.06665,0.0,101.46,1.50668,0.30133600000000005,236.74,1.09714,1.09714,1.2105360000000003,1.2105360000000003
97,2017-02-27,121.78,1.17062,0.936496,136.41,1.05958,0.0,829.28,1.06748,0.0,104.41,1.55049,0.310098,237.11,1.09885,1.09885,1.246594,1.246594
98,2017-02-28,123.51,1.18725,0.9498,135.54,1.05282,0.0,823.21,1.05966,0.0,101.48,1.50698,0.301396,236.47,1.09588,1.09588,1.251196,1.251196
99,2017-03-01,123.7,1.18908,0.951264,137.42,1.06742,0.0,835.24,1.07515,0.0,102.79,1.52643,0.305286,239.78,1.11122,1.11122,1.25655,1.25655
100,2017-03-02,122.24,1.17505,0.94004,136.76,1.0623,0.0,830.63,1.06921,0.0,99.0,1.47015,0.29403,238.27,1.10423,1.10423,1.23407,1.23407
101,2017-03-03,123.66,1.1887,0.9509600000000001,137.17,1.06548,0.0,829.08,1.06722,0.0,98.43,1.46169,0.292338,238.42,1.10492,1.10492,1.2432980000000002,1.2432980000000002
102,2017-03-06,123.52,1.18735,0.94988,137.42,1.06742,0.0,827.78,1.06555,0.0,97.67,1.4504,0.29008,237.71,1.10163,1.10163,1.23996,1.23996
103,2017-03-07,122.08,1.17351,0.9388080000000001,137.3,1.06649,0.0,831.91,1.07086,0.0,98.74,1.46629,0.293258,237.0,1.09834,1.09834,1.232066,1.232066
104,2017-03-08,123.04,1.18274,0.9461919999999999,137.72,1.06975,0.0,835.37,1.07532,0.0,98.56,1.46362,0.292724,236.56,1.0963,1.0963,1.238916,1.238916
105,2017-03-09,125.13,1.20283,0.9622640000000001,138.24,1.07379,0.0,838.68,1.07958,0.0,98.54,1.46332,0.292664,236.86,1.09769,1.09769,1.254928,1.254928
106,2017-03-10,124.0,1.19196,0.953568,138.79,1.07806,0.0,843.25,1.08546,0.0,99.12,1.47193,0.294386,237.69,1.10154,1.10154,1.247954,1.247954
107,2017-03-13,124.43,1.1961,0.95688,139.6,1.08436,0.0,845.54,1.08841,0.0,101.85,1.51247,0.30249400000000004,237.81,1.10209,1.10209,1.259374,1.259374
108,2017-03-14,124.68,1.1985,0.9588,139.32,1.08218,0.0,845.62,1.08851,0.0,101.78,1.51143,0.30228600000000005,236.9,1.09788,1.09788,1.2610860000000002,1.2610860000000002
109,2017-03-15,126.88,1.21965,0.9757199999999999,139.72,1.08529,0.0,847.2,1.09054,0.0,102.55,1.52287,0.304574,238.95,1.10738,1.10738,1.280294,1.280294
110,2017-03-16,126.62,1.21715,0.97372,139.99,1.08739,0.0,848.78,1.09258,0.0,103.81,1.54158,0.30831600000000003,238.48,1.1052,1.1052,1.2820360000000002,1.2820360000000002
111,2017-03-17,125.77,1.20898,0.967184,139.84,1.08622,0.0,852.12,1.09688,0.0,106.07,1.57514,0.31502800000000003,237.03,1.09848,1.09848,1.2822120000000001,1.2822120000000001
112,2017-03-20,126.51,1.21609,0.972872,139.94,1.087,0.0,848.4,1.09209,0.0,109.45,1.62533,0.325066,236.77,1.09728,1.09728,1.297938,1.297938
113,2017-03-21,123.82,1.19023,0.9521839999999999,138.51,1.07589,0.0,830.46,1.069,0.0,105.91,1.57277,0.314554,233.73,1.08319,1.08319,1.266738,1.266738
114,2017-03-22,123.37,1.18591,0.948728,139.59,1.08428,0.0,829.59,1.06788,0.0,108.07,1.60484,0.32096800000000003,234.28,1.08574,1.08574,1.2696960000000002,1.2696960000000002
115,2017-03-23,123.22,1.18447,0.947576,139.53,1.08381,0.0,817.58,1.05242,0.0,107.09,1.59029,0.318058,234.03,1.08458,1.08458,1.265634,1.265634
116,2017-03-24,123.38,1.186,0.9488,140.34,1.0901,0.0,814.43,1.04836,0.0,107.47,1.59593,0.319186,233.86,1.08379,1.08379,1.267986,1.267986
